Id,Target,Nucleoplasm,Nuclear membrane,Nucleoli,Nucleoli fibrillar center,Nuclear speckles,Nuclear bodies,Endoplasmic reticulum,Golgi apparatus,Peroxisomes,Endosomes,Lysosomes,Intermediate filaments,Actin filaments,Focal adhesion sites,Microtubules,Microtubule ends,Cytokinetic bridge,Mitotic spindle,Microtubule organizing center,Centrosome,Lipid droplets,Plasma membrane,Cell junctions,Mitochondria,Aggresome,Cytosol,Cytoplasmic bodies,Rods & rings
4283deac-bba4-11e8-b2b9-ac1f6b6435d0,2 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3eff8436-bbb6-11e8-b2ba-ac1f6b6435d0,25 6 3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
07a298f8-bba6-11e8-b2ba-ac1f6b6435d0,14 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cc82a39c-bba2-11e8-b2b9-ac1f6b6435d0,25 6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fcc35f9a-bb9a-11e8-b2b9-ac1f6b6435d0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4ae2f80-bbb7-11e8-b2ba-ac1f6b6435d0,25 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62ee9a64-bbaf-11e8-b2ba-ac1f6b6435d0,25 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
f88d7476-bbc0-11e8-b2bb-ac1f6b6435d0,25 7 0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
358cff7a-bbb9-11e8-b2ba-ac1f6b6435d0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87927e14-bbad-11e8-b2ba-ac1f6b6435d0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2b878430-bbb6-11e8-b2ba-ac1f6b6435d0,25 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c361f992-bbad-11e8-b2ba-ac1f6b6435d0,16 15 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1e7e10e4-bbaa-11e8-b2ba-ac1f6b6435d0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca9d32b0-bbb9-11e8-b2ba-ac1f6b6435d0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b484197e-bbbb-11e8-b2ba-ac1f6b6435d0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94742420-bbc6-11e8-b2bc-ac1f6b6435d0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec31b3be-bba1-11e8-b2b9-ac1f6b6435d0,12 14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b9b8341a-bb99-11e8-b2b9-ac1f6b6435d0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2550930-bb9c-11e8-b2b9-ac1f6b6435d0,12 21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0bbae852-bbae-11e8-b2ba-ac1f6b6435d0,19 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1074a53c-bbad-11e8-b2ba-ac1f6b6435d0,5 0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62ad850c-bb9a-11e8-b2b9-ac1f6b6435d0,23 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5cf8d2d0-bbbb-11e8-b2ba-ac1f6b6435d0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dd8e4e72-bbc8-11e8-b2bc-ac1f6b6435d0,5 0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7ee5b4e-bbb4-11e8-b2ba-ac1f6b6435d0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c6bc46aa-bb9a-11e8-b2b9-ac1f6b6435d0,23 4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45c45e78-bbbf-11e8-b2ba-ac1f6b6435d0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
feaaa0ce-bba5-11e8-b2ba-ac1f6b6435d0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d90c1f6-bbac-11e8-b2ba-ac1f6b6435d0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466b0784-bbb3-11e8-b2ba-ac1f6b6435d0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eabc96a4-bbbd-11e8-b2ba-ac1f6b6435d0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60883bc6-bbb0-11e8-b2ba-ac1f6b6435d0,16 0 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
18f2010c-bbb5-11e8-b2ba-ac1f6b6435d0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281f55ca-bbc0-11e8-b2bb-ac1f6b6435d0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df148e60-bbc7-11e8-b2bc-ac1f6b6435d0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9326d32-bba0-11e8-b2b9-ac1f6b6435d0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff98ee96-bbb4-11e8-b2ba-ac1f6b6435d0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7893027a-bb9f-11e8-b2b9-ac1f6b6435d0,25 18 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
19473000-bbc4-11e8-b2bc-ac1f6b6435d0,3 0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375a8dc4-bbc1-11e8-b2bb-ac1f6b6435d0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96dee75a-bba2-11e8-b2b9-ac1f6b6435d0,6 0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c8f1a468-bba1-11e8-b2b9-ac1f6b6435d0,2 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e6de1db8-bbaa-11e8-b2ba-ac1f6b6435d0,22 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b3923022-bba3-11e8-b2b9-ac1f6b6435d0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f0928690-bb9c-11e8-b2b9-ac1f6b6435d0,0 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eb1b2c8c-bbc2-11e8-b2bc-ac1f6b6435d0,23 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ba802788-bbb5-11e8-b2ba-ac1f6b6435d0,5 0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0fa5186-bb9b-11e8-b2b9-ac1f6b6435d0,24 5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
768d8dd2-bb9b-11e8-b2b9-ac1f6b6435d0,7 3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3390948-bba6-11e8-b2ba-ac1f6b6435d0,25 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dbc6a03c-bbc6-11e8-b2bc-ac1f6b6435d0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91e7e19e-bbc9-11e8-b2bc-ac1f6b6435d0,2 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baec7120-bbbc-11e8-b2ba-ac1f6b6435d0,25 4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d49693e2-bbb9-11e8-b2ba-ac1f6b6435d0,14 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2cea24d4-bba4-11e8-b2b9-ac1f6b6435d0,23 3 0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
e1d6d560-bbb1-11e8-b2ba-ac1f6b6435d0,25 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1fabea3e-bba7-11e8-b2ba-ac1f6b6435d0,25 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
f17a5daa-bbb3-11e8-b2ba-ac1f6b6435d0,25 4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48df1d2c-bbb6-11e8-b2ba-ac1f6b6435d0,25 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
f7ccfc14-bbb6-11e8-b2ba-ac1f6b6435d0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61d179d2-bbb2-11e8-b2ba-ac1f6b6435d0,23 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4512499a-bba1-11e8-b2b9-ac1f6b6435d0,25 6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2302f7e6-bbb0-11e8-b2ba-ac1f6b6435d0,2 0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f3465f0-bbbc-11e8-b2ba-ac1f6b6435d0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
024476f6-bbb0-11e8-b2ba-ac1f6b6435d0,25 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10cc8e32-bbb2-11e8-b2ba-ac1f6b6435d0,6 7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc841efe-bba4-11e8-b2ba-ac1f6b6435d0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8250ea26-bba3-11e8-b2b9-ac1f6b6435d0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9acc1788-bb99-11e8-b2b9-ac1f6b6435d0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
e2612d82-bbb1-11e8-b2ba-ac1f6b6435d0,25 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21c901d2-bbb9-11e8-b2ba-ac1f6b6435d0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7396499c-bba6-11e8-b2ba-ac1f6b6435d0,7 21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acfeca58-bb9f-11e8-b2b9-ac1f6b6435d0,19 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
e80f4cb2-bbc2-11e8-b2bc-ac1f6b6435d0,0 21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7c366792-bbb7-11e8-b2ba-ac1f6b6435d0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7110a9ba-bbab-11e8-b2ba-ac1f6b6435d0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
